City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,selfoss,63.9331,-20.9971,-2.75,56,100,10.85,IS,1706215482
203,nogliki,51.8333,143.1667,-12.73,82,100,8.03,RU,1706215482
204,egyek,47.6333,20.9,4.52,70,1,5.94,HU,1706215482
205,senanga,-16.1167,23.2667,21.76,63,37,3.41,ZM,1706215482
206,odda,60.0691,6.5457,4.32,87,95,3.27,NO,1706215482
207,shkoder,42.0683,19.5126,5.1,77,9,1.75,AL,1706215482
208,tromso,69.6489,18.9551,-3.05,86,75,4.63,NO,1706215483
209,axim,4.8699,-2.2405,27.12,81,2,3.58,GH,1706215483
210,cururupu,-1.8283,-44.8683,27.49,74,75,2.25,BR,1706215483
211,nicoya,10.1483,-85.452,32.5,50,82,4.11,CR,1706215483
212,birao,10.2849,22.7882,22.65,21,65,2.77,CF,1706215483
213,acajutla,13.5928,-89.8275,30.03,61,3,3.09,SV,1706215483
214,dampit,-8.2116,112.7493,22.45,97,100,0.9,ID,1706215484
215,pisco,-13.7,-76.2167,27.23,74,0,5.66,PE,1706215447
216,anna regina,7.2644,-58.5077,25.97,84,90,4.42,GY,1706215484
217,kimbe,-5.5502,150.1429,25.23,92,100,0.94,PG,1706215484
218,egilsstadir,65.2653,-14.3948,1.95,80,100,3.6,IS,1706215484
219,riyadh,24.6877,46.7219,20.08,22,100,5.24,SA,1706215195
220,terrace,54.5163,-128.6035,4.01,93,100,1.03,CA,1706215337
221,puerto santa,-8.9906,-78.6456,25.73,77,50,4.77,PE,1706215485
222,thunder bay,48.4001,-89.3168,1.95,80,100,0.51,CA,1706215381
223,impfondo,1.6381,18.0667,24.67,26,45,1.44,CG,1706215485
224,naze,28.3667,129.4833,10.51,69,94,5.39,JP,1706215485
225,sitka,57.0531,-135.33,4.94,87,75,3.09,US,1706215485
226,kitui,-1.367,38.0106,20.31,75,45,0.61,KE,1706215486
227,dellys,36.9172,3.9131,17.13,63,5,2.29,DZ,1706215486
228,murun-kuren,49.6342,100.1625,-24.03,88,5,1.14,MN,1706215486
229,botou,38.0667,116.5667,-2.69,47,23,0.03,CN,1706215486
230,tysmenytsya,48.9022,24.8448,1.54,96,100,7.16,UA,1706215486
231,tadine,-21.55,167.8833,26.12,62,74,7.12,NC,1706215487
232,geraldton,-28.7667,114.6,17.23,82,0,3.6,AU,1706215487
233,nueva esperanza,15.2667,-87.6,31.79,64,47,2.04,HN,1706215487
234,hpa-an,16.8906,97.6333,23.84,62,89,1.19,MM,1706215487
235,yen vinh,18.6667,105.6667,13.4,83,100,2.31,VN,1706215487
236,solnechnyy,50.7214,136.6319,-26.09,91,62,1.9,RU,1706215487
237,bubaque,11.2833,-15.8333,26.31,69,0,5.21,GW,1706215488
238,cannonvale,-20.2833,148.7,27.66,83,76,8.74,AU,1706215488
239,mount gambier,-37.8333,140.7667,14.99,76,74,4.87,AU,1706215488
240,isawa,35.65,138.6333,0.44,43,0,1.35,JP,1706215488
241,inhambane,-23.865,35.3833,22.45,75,3,3.07,MZ,1706215489
242,touros,-5.1989,-35.4608,27.46,76,45,3.83,BR,1706215489
243,rikaze,29.25,88.8833,-7.45,41,11,0.84,CN,1706215489
244,vadso,70.0744,29.7487,-0.51,86,75,6.17,NO,1706215490
245,tual,-5.6667,132.75,27.89,80,100,4.31,ID,1706215490
246,taksimo,56.3444,114.8794,-20.21,95,100,0.27,RU,1706215490
247,mentor-on-the-lake,41.705,-81.3604,9.49,94,100,0.0,US,1706215490
248,kapuskasing,49.4169,-82.4331,1.0,93,100,2.57,CA,1706215490
249,yasuj,30.6682,51.588,6.75,70,75,0.0,IR,1706215490
250,pader palwo,2.8006,33.135,27.8,34,97,1.6,UG,1706215491
251,santa cruz,14.2814,121.4161,24.52,78,88,5.38,PH,1706215491
252,isangel,-19.55,169.2667,26.06,94,75,1.03,VU,1706215491
253,pokhara,28.2333,83.9833,8.53,47,32,2.56,NP,1706215491
254,hotan,37.0997,79.9269,-6.06,47,99,1.61,CN,1706215491
255,puerto deseado,-47.7503,-65.8938,30.59,27,34,14.82,AR,1706215281
256,morant bay,17.8815,-76.4093,30.95,71,7,4.88,JM,1706215492
257,katabu,-4.9333,122.5167,24.49,90,100,0.64,ID,1706215492
258,paros,37.0833,25.15,14.61,67,94,3.09,GR,1706215492
259,pocatello,42.8713,-112.4455,4.34,90,100,2.68,US,1706215492
260,bakani,24.2833,76.2333,13.69,36,58,2.3,IN,1706215492
261,yakeshi,49.2833,120.7333,-31.4,100,97,0.58,CN,1706215493
262,bathsheba,13.2167,-59.5167,28.34,74,75,11.32,BB,1706215493
263,sarmiento,-45.5882,-69.07,28.12,30,82,12.46,AR,1706215493
264,trail,49.0998,-117.7022,5.93,100,100,1.22,CA,1706215327
265,lompoc,34.6391,-120.4579,22.79,64,20,6.69,US,1706215493
